7:518,616,650,76,302,15,8,58,29,542
18:224,518,616,650,302,17,654,8,58,542
19:866,616,76,654,17,84,302,8,58,29
36:518,616,650,76,654,17,84,8,58,29
37:616,650,76,654,17,84,302,8,58,29
41:616,650,76,654,17,564,302,58,29,542
42:518,650,76,654,17,84,302,58,29,542
43:518,616,76,654,17,564,302,8,84,58
44:354,899,518,70,616,76,302,8,84,564
45:616,650,76,302,17,564,654,8,58,29
46:226,616,650,76,302,8,564,58,508,542
59:616,650,76,301,654,564,138,58,29,542
60:518,616,650,76,302,8,84,564,58,542
69:866,650,76,354,654,81,564,302,58,29
70:518,616,76,654,8,84,302,58,29,542
94:70,616,650,76,654,17,84,302,58,29
106:736,866,899,518,70,8,81,84,508,29
115:226,899,518,8,354,866,301,81,58,29
116:518,616,76,654,17,564,302,8,58,542
142:866,8,361,236,301,1102,81,84,58,29
143:866,616,76,654,17,84,302,8,58,29
148:616,650,76,654,17,84,302,8,564,58
150:518,8,650,654,15,17,84,302,564,542
156:354,616,650,76,302,8,84,58,29,542
161:899,70,616,650,76,84,564,508,29,542
171:354,70,518,8,650,76,302,15,84,564
172:354,70,518,8,76,654,84,564,58,542
174:70,518,616,76,302,17,84,654,8,58
177:518,616,650,76,654,17,84,8,58,29
196:736,226,616,650,76,81,564,508,29,542
202:736,866,518,8,354,301,302,1102,58,542
211:518,616,76,302,17,245,8,58,508,654
217:518,616,654,15,17,84,302,8,58,542
220:866,616,650,76,654,17,84,302,8,58
223:518,616,650,76,654,8,84,302,58,29
224:518,616,76,302,17,84,654,8,58,245
225:518,616,76,654,8,84,302,58,29,542
228:518,616,650,76,654,17,302,8,58,542
229:736,866,899,518,361,1102,81,84,58,508
231:518,616,76,654,8,84,302,58,29,542
232:866,616,76,654,17,84,302,8,58,29
238:518,616,76,654,17,564,302,8,58,245
241:70,518,616,650,76,84,564,58,29,542
245:866,81,616,650,76,654,17,302,8,58
249:518,616,654,15,17,84,302,8,58,29
250:70,518,616,654,8,84,302,564,58,29
253:518,616,76,302,17,564,654,8,58,542
257:354,899,70,81,301,1102,17,84,508,542
272:518,616,650,76,654,15,8,58,29,542
273:736,354,70,650,76,654,15,17,302,508
288:354,70,616,650,76,1102,17,84,58,29
290:518,616,302,17,84,654,8,564,58,542
291:518,616,302,15,17,84,654,564,58,542
292:899,70,616,138,76,654,564,58,508,542
294:354,70,8,76,302,15,17,564,29,542
328:518,616,76,654,15,8,84,302,58,542
331:518,616,650,654,17,84,302,8,58,542
345:866,616,76,654,17,84,302,8,58,29
361:70,518,616,650,76,15,8,564,58,29
376:518,616,302,15,17,84,8,58,29,542
384:518,616,650,76,654,17,84,302,8,29
401:70,616,650,301,15,81,58,508,29,542
402:354,70,518,8,1102,654,84,302,564,542
410:518,616,76,302,17,84,654,8,58,542
448:518,616,650,76,654,8,84,302,58,29
449:518,616,650,654,17,84,302,8,58,29
450:866,899,361,76,354,654,81,84,302,29
452:518,616,76,302,17,564,654,8,58,542
476:518,616,364,61,302,15,17,654,1405,245
488:354,70,518,616,76,302,17,1102,58,29
490:354,899,70,81,650,76,301,302,17,29
494:70,518,616,654,17,84,8,564,58,29
500:518,616,650,76,654,17,302,8,58,62
514:518,616,76,654,17,84,302,8,58,542
525:518,616,650,654,84,302,564,58,29,542
535:70,518,8,650,76,17,564,245,29,542
536:518,616,650,76,654,8,84,302,58,29
538:70,616,650,76,654,15,564,302,58,29
539:70,518,8,654,17,84,564,58,29,542
564:736,518,8,650,76,15,81,84,564,508
582:736,354,518,70,616,76,1102,84,564,29
585:518,616,76,654,17,84,302,8,58,542
590:70,518,8,650,76,654,15,564,29,542
601:866,616,76,654,17,84,302,8,58,29
618:518,616,76,654,17,564,302,8,58,542
624:518,8,616,76,654,17,245,58,508,542
627:866,616,650,76,654,17,84,302,8,58
628:518,70,8,76,302,17,84,654,58,542
632:518,8,616,302,17,564,654,58,508,542
633:354,518,8,650,76,654,84,302,58,29
634:616,76,654,15,17,564,302,58,508,542
646:518,616,76,654,17,564,302,8,58,542
666:8772,8,76,654,2543,17,302,533,5975,4671
667:518,616,76,654,17,84,302,8,58,542
669:518,616,76,654,17,84,302,8,564,58
